"marca","modelo","escopo","tipo_documento","pasta_sugerida","idioma_sugerido","nome_arquivo","caminho_zip","tamanho_bytes","compactado_bytes","status_validacao","observacao"
"VALTRA","_GERAL_VALTRA","geral","catalogo_pecas","03_catalogo_pecas","PT","MANUAL E CATALOGO DE PEÇAS COM COMPONENTES ELÉTRICOS E SENSORES DO SISTEMA HIDRÁULICO DE UMA SÉRIE T CVT.pdf","TRATORES AGRICOLAS VALTRA 2/MANUAL E CATALOGO DE PEÇAS COM COMPONENTES ELÉTRICOS E SENSORES DO SISTEMA HIDRÁULICO DE UMA SÉRIE T CVT.pdf","29558013","26715752","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","_GERAL_VALTRA","geral","ficha_tecnica_folheto","07_ficha_tecnica_folheto","PT","FOLHETO DOS TRATORES AGRICOLAS A2R.pdf","TRATORES AGRICOLAS VALTRA 2/FOLHETO DOS TRATORES AGRICOLAS A2R.pdf","3592998","3491407","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","_GERAL_VALTRA","geral","manual_eletrico_hidraulico","05_manual_eletrico_hidraulico","PT","MANUAL DE  ELÉTRICA E HIDRÁULICA DOS TRATORES VALTRA A4S, A4 E A4 HITECH, INCLUINDO DIAGNÓSTICO DE FALHAS.pdf","TRATORES AGRICOLAS VALTRA 2/MANUAL DE  ELÉTRICA E HIDRÁULICA DOS TRATORES VALTRA A4S, A4 E A4 HITECH, INCLUINDO DIAGNÓSTICO DE FALHAS.pdf","21488271","19065427","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","_GERAL_VALTRA","geral","manual_eletrico_hidraulico","05_manual_eletrico_hidraulico","PT","MANUAL DE CONCEITOS OPERACIONAIS, SISTEMA ELÉTRICO E SISTEMAS HIDRÁULICOS DOS TRATORES VALTRA SERIE100.pdf","TRATORES AGRICOLAS VALTRA 2/MANUAL DE CONCEITOS OPERACIONAIS, SISTEMA ELÉTRICO E SISTEMAS HIDRÁULICOS DOS TRATORES VALTRA SERIE100.pdf","20432258","19484816","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","_GERAL_VALTRA","geral","manual_manutencao","04_manual_manutencao","PT","MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4 E BH G2.pdf","TRATORES AGRICOLAS VALTRA 2/MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4 E BH G2.pdf","4584440","4335804","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","_GERAL_VALTRA","geral","manual_servico_oficina","02_manual_servico_oficina","PT","MANUAL DE SERVIÇO DOS TRATORES VALTRA A4S A74S A84S A94S.pdf","TRATORES AGRICOLAS VALTRA 2/MANUAL DE SERVIÇO DOS TRATORES VALTRA A4S A74S A84S A94S.pdf","1761545","1727357","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","_GERAL_VALTRA","geral","manual_servico_oficina","02_manual_servico_oficina","PT","MANUAL DE SERVIÇO DOS TRATORES VALTRA A800R-A990R.pdf","TRATORES AGRICOLAS VALTRA 2/MANUAL DE SERVIÇO DOS TRATORES VALTRA A800R-A990R.pdf","1872909","1839903","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","_GERAL_VALTRA","geral","manual_servico_oficina","02_manual_servico_oficina","PT","MANUAL DE SERVIÇO DOS TRATORES VALTRA S3.pdf","TRATORES AGRICOLAS VALTRA 2/MANUAL DE SERVIÇO DOS TRATORES VALTRA S3.pdf","316793923","195512328","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","_GERAL_VALTRA","geral","manual_servico_oficina","02_manual_servico_oficina","PT","MANUAL DE SERVIÇO DOS TRATORES VALTRA T CVT.pdf","TRATORES AGRICOLAS VALTRA 2/MANUAL DE SERVIÇO DOS TRATORES VALTRA T CVT.pdf","1171681","1105322","candidato_por_pasta_usuario","Documento geral no nivel raiz do ZIP; mapear por serie antes de copiar para modelos."
"VALTRA","A125 HiTech","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A125 HiTech/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
