"data_pesquisa","lote","consulta","rank","titulo","url","resumo","status"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","1","valtra.com.brhttps://www.valtra.com.br","https://www.bing.com/ck/a?!&&p=118e392432db6128ac4c14a6113c03bf0b19424bbeac45f4d8b7a8fab1fe8242JmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly93d3cudmFsdHJhLmNvbS5ici8&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","2","valtra.com.brhttps://www.valtra.com.br â€º produtos â€º tratores","https://www.bing.com/ck/a?!&&p=7579a1c9a035b0d6ad53080cfdd042aa82685ee17967ffea0c961129caf70b24JmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly93d3cudmFsdHJhLmNvbS5ici9wcm9kdXRvcy90cmF0b3Jlcy5odG1s&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","3","agcocorp.comhttps://www.agcocorp.com â€º br â€º pt â€º home â€º brands-and-solutions â€º valtra.html","https://www.bing.com/ck/a?!&&p=1123ce12024bea551a42f80f5bd88e8059015c5c39afb7d3e145532165fb4782JmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly93d3cuYWdjb2NvcnAuY29tL2JyL3B0L2hvbWUvYnJhbmRzLWFuZC1zb2x1dGlvbnMvdmFsdHJhLmh0bWw&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","4","olx.com.brhttps://www.olx.com.br â€º anuncios â€º tratores-agricolas-valtra","https://www.bing.com/ck/a?!&&p=7d162d257ce695cac04ad3b7b3ac667471882b607f2c62f60a491ecd587e134fJmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly93d3cub2x4LmNvbS5ici9hbnVuY2lvcy90cmF0b3Jlcy1hZ3JpY29sYXMtdmFsdHJh&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","5","agromobvaltra.com.brhttps://agromobvaltra.com.br","https://www.bing.com/ck/a?!&&p=9b4850c1ab31335aa3d9d025bc38cd615d93112f410848b5bafac777469ee015JmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly9hZ3JvbW9idmFsdHJhLmNvbS5ici8&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","6","valtra.comhttps://www.valtra.com","https://www.bing.com/ck/a?!&&p=9b387bb433c7922b80d7a43a0a5b2b9fda7d1564b3744f99894e09e8906cd4b7JmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly93d3cudmFsdHJhLmNvbS8&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","7","wikipedia.orghttps://pt.wikipedia.org â€º wiki â€º Valtra","https://www.bing.com/ck/a?!&&p=4c702f874d9ffc2f53f962c7611666a24a194b533f689405c19473632ffc343cJmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly9wdC53aWtpcGVkaWEub3JnL3dpa2kvVmFsdHJh&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","8","valtra.pthttps://www.valtra.pt","https://www.bing.com/ck/a?!&&p=cfe3a06977116c2a3cb07946ad3fcd6ded1fa61666c884bde97779579b875124JmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly93d3cudmFsdHJhLnB0Lw&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","9","mfrural.com.brhttps://www.mfrural.com.br â€º busca â€º trator-valtra","https://www.bing.com/ck/a?!&&p=55143a129e2c444b4f25fe6dd480c7529ca1e6e274c2ec0eaab949b13a08153aJmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly93d3cubWZydXJhbC5jb20uYnIvYnVzY2EvdHJhdG9yLXZhbHRyYQ&ntb=1","","candidato_nao_validado"
"2026-07-02T11:55:58","VALTRA 4","Valtra Q265 Q285 Q305 operator manual PDF","10","olx.com.brhttps://www.olx.com.br â€º anuncios â€º trator-valtra","https://www.bing.com/ck/a?!&&p=d360daa3b1e8ede5a21e8e2a0fc621062af949fd4b163672bb6eaf4785e2dfedJmltdHM9MTc4Mjk1MDQwMA&ptn=3&ver=2&hsh=4&fclid=092c3f4b-d30b-6f82-021b-28c1d2686e54&u=a1aHR0cHM6Ly93d3cub2x4LmNvbS5ici9hbnVuY2lvcy90cmF0b3ItdmFsdHJh&ntb=1","","candidato_nao_validado"
