"marca","modelo","lote","destino"
"VALTRA","A800C","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A800P","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A800R","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A850","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A850C","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A850F","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A850R","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A950","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A950C","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A950R","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A990","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A990C","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","A990R","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","BM115","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","BM115C","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","BM135","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","BM135C","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","BT170","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","BT190","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
"VALTRA","BT210","VALTRA 2","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 2"
