"modelo","pasta_existe","pdfs","outros_arquivos","subpastas","status"
"A800C","nao","0","0","0","pendente_pesquisa_sem_pasta"
"A800P","nao","0","0","0","pendente_pesquisa_sem_pasta"
"A800R","sim","6","0","0","somente_pdfs_na_raiz"
"A850","sim","4","0","0","somente_pdfs_na_raiz"
"A850C","nao","0","0","0","pendente_pesquisa_sem_pasta"
"A850F","sim","5","0","0","somente_pdfs_na_raiz"
"A850R","sim","6","0","0","somente_pdfs_na_raiz"
"A950","nao","0","0","0","pendente_pesquisa_sem_pasta"
"A950C","nao","0","0","0","pendente_pesquisa_sem_pasta"
"A950R","sim","6","0","0","somente_pdfs_na_raiz"
"A990","nao","0","0","0","pendente_pesquisa_sem_pasta"
"A990C","nao","0","0","0","pendente_pesquisa_sem_pasta"
"A990R","sim","6","0","0","somente_pdfs_na_raiz"
"BM115","nao","0","0","0","pendente_pesquisa_sem_pasta"
"BM115C","nao","0","0","0","pendente_pesquisa_sem_pasta"
"BM135","nao","0","0","0","pendente_pesquisa_sem_pasta"
"BM135C","nao","0","0","0","pendente_pesquisa_sem_pasta"
"BT170","sim","5","0","0","somente_pdfs_na_raiz"
"BT190","sim","5","0","0","somente_pdfs_na_raiz"
"BT210","sim","6","0","0","somente_pdfs_na_raiz"
