"modelo","pdfs_total","genericos","especificos","nomes_especificos","outros_arquivos","subpastas"
"A800C","4","4","0","","0","0"
"A800P","4","4","0","","0","0"
"A800R","6","4","2","FOLHETO DOS TRATORES AGRICOLAS A2R.pdf | MANUAL DE SERVIÇO DOS TRATORES VALTRA A800R A850R A950R A990R.pdf","0","0"
"A850","5","4","1","MANUAL DO OPERADOR DOS TRATORES VALTRA A650 A750 A750L A850 A950 A990.pdf","0","0"
"A850C","4","4","0","","0","0"
"A850F","5","4","1","ESPECIFICAÇÕES DO TRATOR VALTRA A850F.pdf","0","0"
"A850R","6","4","2","FOLHETO DOS TRATORES AGRICOLAS A2R.pdf | MANUAL DE SERVIÇO DOS TRATORES VALTRA A800R A850R A950R A990R.pdf","0","0"
"A950","5","4","1","MANUAL DO OPERADOR DOS TRATORES VALTRA A650 A750 A750L A850 A950 A990.pdf","0","0"
"A950C","4","4","0","","0","0"
"A950R","6","4","2","FOLHETO DOS TRATORES AGRICOLAS A2R.pdf | MANUAL DE SERVIÇO DOS TRATORES VALTRA A800R A850R A950R A990R.pdf","0","0"
"A990","6","4","2","CATÁLOGO DE PEÇAS DO TRATOR VALTRA A990.pdf | MANUAL DO OPERADOR DOS TRATORES VALTRA A650 A750 A750L A850 A950 A990.pdf","0","0"
"A990C","4","4","0","","0","0"
"A990R","6","4","2","FOLHETO DOS TRATORES AGRICOLAS A2R.pdf | MANUAL DE SERVIÇO DOS TRATORES VALTRA A800R A850R A950R A990R.pdf","0","0"
"BM115","7","4","3","BOLETIM DE SERVIÇO VT 010-23 AJUSTE DO SINCRONISMO DA INJEÇÃO DOS TRATORES VALTRA BM115 BM135.pdf | BOLETIM DE SERVIÇO VT 065-24 INSTALAÇÃO DO SUPORTE DO COMPRESSOR DOS TRATORES VALTRA BM115 BM135.pdf | FOLHETO DOS TRATORES VALTRA BM115 BM135.pdf","0","0"
"BM115C","4","4","0","","0","0"
"BM135","7","4","3","BOLETIM DE SERVIÇO VT 010-23 AJUSTE DO SINCRONISMO DA INJEÇÃO DOS TRATORES VALTRA BM115 BM135.pdf | BOLETIM DE SERVIÇO VT 065-24 INSTALAÇÃO DO SUPORTE DO COMPRESSOR DOS TRATORES VALTRA BM115 BM135.pdf | FOLHETO DOS TRATORES VALTRA BM115 BM135.pdf","0","0"
"BM135C","4","4","0","","0","0"
"BT170","5","4","1","MANUAL DO OPERADOR DOS TRATORES VALTRA BT150 BT170 BT190 BT210.pdf","0","0"
"BT190","5","4","1","MANUAL DO OPERADOR DOS TRATORES VALTRA BT150 BT170 BT190 BT210.pdf","0","0"
"BT210","6","4","2","CATÁLOGO DE PEÇAS DO SISTEMA ELÉTRICO DO TRATOR VALTRA BT210.pdf | MANUAL DO OPERADOR DOS TRATORES VALTRA BT150 BT170 BT190 BT210.pdf","0","0"
