"modelo","pasta","total_pdfs","documentos_especificos_adicionados","total_documentos_especificos_adicionados","total_subpastas","total_arquivos_nao_pdf"
"Q265","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\Q265","6","FOLHETO COMPLETO DOS TRATORES VALTRA SERIE Q5 Q265 Q285 Q305.pdf | FOLHETO RESUMIDO DOS TRATORES VALTRA SERIE Q5 Q265 Q285 Q305.pdf","2","0","0"
"Q285","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\Q285","6","FOLHETO COMPLETO DOS TRATORES VALTRA SERIE Q5 Q265 Q285 Q305.pdf | FOLHETO RESUMIDO DOS TRATORES VALTRA SERIE Q5 Q265 Q285 Q305.pdf","2","0","0"
"Q305","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\Q305","6","FOLHETO COMPLETO DOS TRATORES VALTRA SERIE Q5 Q265 Q285 Q305.pdf | FOLHETO RESUMIDO DOS TRATORES VALTRA SERIE Q5 Q265 Q285 Q305.pdf","2","0","0"
"S263","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S263","4","","0","0","0"
"S274","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S274","4","","0","0","0"
"S324","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S324","4","","0","0","0"
"S346","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S346","6","FOLHETO COMPLETO DOS TRATORES VALTRA SERIE S6 S346 S376 S416.pdf | FOLHETO RESUMIDO DOS TRATORES VALTRA SERIE S6 S346 S376 S416.pdf","2","0","0"
"S353","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S353","4","","0","0","0"
"S374","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S374","4","","0","0","0"
"S376","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S376","6","FOLHETO COMPLETO DOS TRATORES VALTRA SERIE S6 S346 S376 S416.pdf | FOLHETO RESUMIDO DOS TRATORES VALTRA SERIE S6 S346 S376 S416.pdf","2","0","0"
"S394","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S394","4","","0","0","0"
"S396","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S396","4","","0","0","0"
"S416","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\S416","6","FOLHETO COMPLETO DOS TRATORES VALTRA SERIE S6 S346 S376 S416.pdf | FOLHETO RESUMIDO DOS TRATORES VALTRA SERIE S6 S346 S376 S416.pdf","2","0","0"
"T195 CVT","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\T195 CVT","5","FOLHETO DOS TRATORES VALTRA T195 CVT T210 CVT T230 CVT T250 CVT.pdf","1","0","0"
"T210 CVT","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\T210 CVT","5","FOLHETO DOS TRATORES VALTRA T195 CVT T210 CVT T230 CVT T250 CVT.pdf","1","0","0"
"T230 CVT","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\T230 CVT","5","FOLHETO DOS TRATORES VALTRA T195 CVT T210 CVT T230 CVT T250 CVT.pdf","1","0","0"
"T250 CVT","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA 4\T250 CVT","5","FOLHETO DOS TRATORES VALTRA T195 CVT T210 CVT T230 CVT T250 CVT.pdf","1","0","0"
