"data_download","batch_id","marca","modelo","tipo_documento","fonte","url","arquivo_local","tamanho_bytes","paginas","sha256","status","observacao"
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A125 HiTech","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A125 HiTech/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A125 HiTech\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A125 HiTech","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A125 HiTech/FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A125 HiTech\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","240866","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A134H","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A134H/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A134H\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A134H","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A134H/FOLHETO DOS TRATORES AGRICOLAS A4 HITECH.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A134H\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A4 HITECH.pdf","3401868","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A134H","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A134H/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A134H\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A135","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A135/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A135","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A135/FOLHETO DOS TRATORES AGRICOLAS A5.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5.pdf","2378539","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A135","manual_operador","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A135/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A135 HiTech","catalogo_pecas","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A135 HiTech/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135 HiTech\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
"2026-07-01T10:39:48","usuario_zip_valtra_20260701","VALTRA","A135 HiTech","ficha_tecnica_folheto","ZIP usuario - Scribd/oficial informado","zip://TRATORES AGRICOLAS VALTRA 2-20260701T123625Z-3-001.zip!/TRATORES AGRICOLAS VALTRA 2/A135 HiTech/FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A135 HiTech\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","240866","pendente","pendente","importado_usuario_zip_pendente_validacao_conteudo","Documento estava dentro da pasta do modelo no ZIP do usuario."
