"data_rejeicao","batch_id","marca","modelo","tipo_documento","fonte","url","motivo","idioma","observacao"
"2026-07-01T12:01:54","valtra2_busca_exata_web_20260701","VALTRA","A800C","todos","Web/Scribd busca exata","consulta: A800C manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; evitar repetir esta mesma consulta."
"2026-07-01T12:01:54","valtra2_busca_exata_web_20260701","VALTRA","A800P","todos","Web/Scribd busca exata","consulta: A800P manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; evitar repetir esta mesma consulta."
"2026-07-01T12:01:54","valtra2_busca_exata_web_20260701","VALTRA","A850C","todos","Web/Scribd busca exata","consulta: A850C manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; evitar repetir esta mesma consulta."
"2026-07-01T12:01:54","valtra2_busca_exata_web_20260701","VALTRA","A950C","todos","Web/Scribd busca exata","consulta: A950C manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; evitar repetir esta mesma consulta."
"2026-07-01T12:01:54","valtra2_busca_exata_web_20260701","VALTRA","A990C","todos","Web/Scribd busca exata","consulta: A990C manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; evitar repetir esta mesma consulta."
"2026-07-01T12:02:23","valtra2_busca_exata_web_20260701","VALTRA","BM115C","todos","Web/Scribd busca exata","consulta: BM115C manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; proxima tentativa recomendada: busca por familia no Scribd/site oficial."
"2026-07-01T12:02:23","valtra2_busca_exata_web_20260701","VALTRA","BM135C","todos","Web/Scribd busca exata","consulta: BM135C manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; proxima tentativa recomendada: busca por familia no Scribd/site oficial."
"2026-07-01T12:02:23","valtra2_busca_exata_web_20260701","VALTRA","BT170","todos","Web/Scribd busca exata","consulta: BT170 manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; proxima tentativa recomendada: busca por familia no Scribd/site oficial."
"2026-07-01T12:02:23","valtra2_busca_exata_web_20260701","VALTRA","BT190","todos","Web/Scribd busca exata","consulta: BT190 manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; proxima tentativa recomendada: busca por familia no Scribd/site oficial."
"2026-07-01T12:02:23","valtra2_busca_exata_web_20260701","VALTRA","BT210","todos","Web/Scribd busca exata","consulta: BT210 manual PDF","sem_resultado_util_busca_exata","","Busca economica exata nao retornou candidato util; proxima tentativa recomendada: busca por familia no Scribd/site oficial."
"2026-07-01T12:05:41","valtra2_scribd_familias_20260701","VALTRA","BT170;BT190;BT210","ficha_tecnica_folheto","Scribd","https://pt.scribd.com/document/603407488/valtra-2022","candidato_generico_sem_modelos_do_lote_no_conteudo_visivel","PT","Busca Valtra BT170 BT190 BT210 manual retornou Valtra 2022; pagina visivel mostra catalogo/listagem geral de pecas/modelos, sem confirmar BT170 BT190 BT210."
"2026-07-01T12:06:42","valtra2_scribd_familias_20260701","VALTRA","BM115C","todos","Scribd","consulta: BM115 BM135 Valtra","resultado_sem_confirmacao_modelo_c","PT","Resultados bons citam BM115/BM135, mas nao confirmam BM115C/BM135C; nao aplicar sem validacao de conteudo."
"2026-07-01T12:06:42","valtra2_scribd_familias_20260701","VALTRA","BM135C","todos","Scribd","consulta: BM115 BM135 Valtra","resultado_sem_confirmacao_modelo_c","PT","Resultados bons citam BM115/BM135, mas nao confirmam BM115C/BM135C; nao aplicar sem validacao de conteudo."
"2026-07-01T12:07:55","valtra2_scribd_familias_20260701","VALTRA","A800C","todos","Scribd","consulta: A800C Valtra","sem_resultado_util_scribd_exato","","Busca economica no Scribd por modelo exato nao retornou cards/documentos uteis; nao aplicar documentos A800R-A990R ou A850/A950/A990 sem citacao explicita."
