"marca","modelo","total_manuais_admin","tem_manual_operador","tem_manual_servico_oficina","tem_catalogo_pecas","tem_manual_manutencao","tem_manual_eletrico_hidraulico","tem_ficha_tecnica_folheto","tem_treinamento_diagnostico","faltam_prioritarios","candidatos_parecidos","titulos_admin"
"NEW HOLLAND","T9.470 - COM LEVANTE","5","False","False","True","False","False","True","False","manual_operador; manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND"
"NEW HOLLAND","T9.470 - PIVOT","5","False","False","True","False","False","True","False","manual_operador; manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND"
"NEW HOLLAND","T9.480","5","True","False","True","False","False","True","False","manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND | MANUAL DO OPERADOR DOS TRATORES AGRICOLA T9.435 T9.480 T9.530 T9.565 T9.600 T9.645 T9.700"
"NEW HOLLAND","T9.520 - COM LEVANTE","5","False","False","True","False","False","True","False","manual_operador; manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND"
"NEW HOLLAND","T9.520 - PIVOT","5","False","False","True","False","False","True","False","manual_operador; manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND"
"NEW HOLLAND","T9.565","5","True","False","True","False","False","True","False","manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9 BX | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND | MANUAL DO OPERADOR DOS TRATORES AGRICOLA T9.435 T9.480 T9.530 T9.565 T9.600 T9.645 T9.700"
"NEW HOLLAND","T9.580 - COM LEVANTE","5","False","False","True","False","False","True","False","manual_operador; manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND"
"NEW HOLLAND","T9.580 - PIVOT","5","False","False","True","False","False","True","False","manual_operador; manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND"
"NEW HOLLAND","T9.615 - COM LEVANTE","6","True","False","True","False","False","True","False","manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND | MANUAL DO OPERADOR DOS TRATORES AGRICOLA T9.390 T9.450 T9.505 T9.560 T9.615 T9.670 EM INGLES"
"NEW HOLLAND","T9.615 - PIVOT","6","True","False","True","False","False","True","False","manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND | MANUAL DO OPERADOR DOS TRATORES AGRICOLA T9.390 T9.450 T9.505 T9.560 T9.615 T9.670 EM INGLES"
"NEW HOLLAND","T9.700 - PIVOT","8","True","False","True","False","False","True","False","manual_servico_oficina","","CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | ESPECIFICAÇÕES DOS TRATORES NEW HOLLAND T9.470 T9.520 T9.580 T9.615 T9.700 | FICHA TÉCNICA TRATOR NEW HOLLAND T9.700 | FOLHETO DOS TRATORES NEW HOLLAND T9 | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND | MANUAL DO OPERADOR DOS TRATORES AGRICOLA T9.390 T9.450 T9.505 T9.560 T9.615 T9.670 EM INGLES | MANUAL DO OPERADOR DOS TRATORES AGRICOLA T9.435 T9.480 T9.530 T9.565 T9.600 T9.645 T9.700"
"NEW HOLLAND","TL100","5","False","False","True","False","False","False","False","manual_operador; manual_servico_oficina","","CATÁLOGO DE PEÇAS DO TRATOR NEW HOLLAND T3-T8, TD, TL, E TV TRACTOR SERIES EM INGLES | CATALOGO DE PEÇAS E FILTROS PARA OS TRATORES NEW HOLLAND | INSTRUÇÕES DE LUBRIFICAÇÃO PARA TRATORES NEW HOLLAND | LUZES DO PAINEL DOS TRATORES NEW HOLLAND | SISTEMA DE DIREÇÃO DOS TRATORES NEW HOLLAND - TT-TL-TT4-T4-T3-T5S-S30-T6"
