"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"1","Aplainadora a Frio","CATERPILLAR","PC104","FICHA TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019d7914-5e95-74d5-96c4-faa6795695da/019d791c-f3c6-7c35-a515-17b0bb881326.pdf"
"2","Aplainadora a Frio","CATERPILLAR","PC305","ESPECIFICAÇÃO TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019d790e-3775-7a68-b88f-8826de0b6430/019d7934-ad61-76e3-88a7-43919c3cd745.pdf"
"3","Aplainadora a Frio","CATERPILLAR","PC306","ESPECIFICAÇÃO TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019d790e-82ac-79cd-866f-3974ae7e453c/019d7935-87b6-793e-8c6b-f923139e6a1b.pdf"
"4","Aplainadora a Frio","CATERPILLAR","PC306-Com Agua","ESPECIFICAÇÃO TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019d790f-71f4-7503-9b88-ce2546016299/019d7938-e8cc-7267-8b56-6518e538319a.pdf"
"5","Aplainadora a Frio","CATERPILLAR","PC306 XD","ESPECIFICAÇÃO TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019d7910-379d-7476-b359-2bf779d3e0f4/019d793b-0c7e-7a38-977e-8b74127225b5.pdf"
"6","Aplainadora a Frio","CATERPILLAR","PC35","ESPECIFICAÇÃO TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019d790d-580a-7cc0-9bb6-93eb52359fbe/019d7932-ab08-70d3-bd48-5e639435378e.pdf"
"7","Aplainadora a Frio","CATERPILLAR","PC404","ESPECIFICAÇÃO TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019d7910-d9fa-7a48-a0ef-b2f06af3c43d/019d793c-cfe2-7da1-b600-498044d94d6c.pdf"
"8","Aplainadora a Frio","CATERPILLAR","PC45","ESPECIFICAÇÃO TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019d790d-9bc8-7284-9d13-bc2600d3a47f/019d7933-b390-7143-ba44-6222923e9a7c.pdf"
"9","Aplainadora a Frio","CATERPILLAR","PM310 ( TIER 3 )","FICHA TÉCNICA","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196a1b3-3312-71f5-a427-9f69cf3dea9b/019d78f1-3b89-74e3-8896-912589e35bda.pdf"
"10","Colhedora de Algodão","JOHN DEERE","7460","Sistema Pro-Drive da Colhedora - 7760","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019933b6-7273-72db-b5d1-8f59f5ada944/019ef564-765e-7920-ae03-a973ed6e1e73.pdf"
"11","Colhedora de Algodão","JOHN DEERE","7760","GUIA DE REFERÊNCIA RÁPIDA COLHEDORA DE ALGODÃO JOHN DEERE - 7760 - CP770 - CS770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-706f-8d08-fb8b3597af81/019dab25-0f9c-7b6e-a1f5-ac8b5b43347a.pdf"
"12","Colhedora de Algodão","JOHN DEERE","7760","Manual do operador Colhedora de algodao John deere-7760","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-706f-8d08-fb8b3597af81/019dab25-10f7-7f5b-897b-a835c2ab9ab2.pdf"
"13","Colhedora de Algodão","JOHN DEERE","7760","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO - EDIÇÃO H0","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-706f-8d08-fb8b3597af81/019dab25-149c-78c0-bc04-488a322bbe61.pdf"
"14","Colhedora de Algodão","JOHN DEERE","9935","CATALOGO DE PEÇAS COLHEDORA DE ALGODÃO JOHN DEERE CP9935 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bd-9a39-7297-a6f4-ad8a4bfe61dd/019dab26-6f71-78ce-9372-5149ea788d89.pdf"
"15","Colhedora de Algodão","JOHN DEERE","9935","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE - 9935","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bd-9a39-7297-a6f4-ad8a4bfe61dd/019dab26-6fdb-79b2-8dd7-43395314e9ab.pdf"
"16","Colhedora de Algodão","JOHN DEERE","9940","Catalogo de peças da colhedora de Algodão 9940 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bd-f315-7cfd-a517-6fac5187f39e/019dab27-a425-7e17-b218-e00f1dcfb34e.pdf"
"17","Colhedora de Algodão","JOHN DEERE","9940","MANUAL DO OPERADOR DE COLHEDORA DE ALGODÃO JOHN DEERE 9940","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bd-f315-7cfd-a517-6fac5187f39e/019dab27-a49f-7999-9c1d-9bfaf1681d4c.pdf"
"18","Colhedora de Algodão","JOHN DEERE","9950","Catalogo de peças colhedora de Algodão 9956 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6be-4e16-7770-9867-b346e594d245/019dab28-7bf9-71bb-9bfb-e953a5168d0f.pdf"
"19","Colhedora de Algodão","JOHN DEERE","9950","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO 9950","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6be-4e16-7770-9867-b346e594d245/019dab28-7d15-76ec-b5f1-b64717aa776c.pdf"
"20","Colhedora de Algodão","JOHN DEERE","9965","Catalogo de peças Colhedora de Algodão 9965 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6be-96c4-7eb4-9de6-98c82dc02edc/019dab29-3b57-78b0-97a0-d5caef8c382a.pdf"
"21","Colhedora de Algodão","JOHN DEERE","9965","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO 9965","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6be-96c4-7eb4-9de6-98c82dc02edc/019dab29-3bd1-7f3f-9334-9686cdb7c4d1.pdf"
"22","Colhedora de Algodão","JOHN DEERE","9970","Catalogo de peças Colhedora de algodão John deere CP 9970 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196fe89-8e62-7e2d-9541-32be7b236c7d/019dab2a-1ba2-7ea2-9fb8-82f1fd8534ca.pdf"
"23","Colhedora de Algodão","JOHN DEERE","9970","MANUAL DE OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE 9970","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196fe89-8e62-7e2d-9541-32be7b236c7d/019dab2a-1c57-7b05-8284-ff9609f4ede9.pdf"
"24","Colhedora de Algodão","JOHN DEERE","9976","Catalogo de peças Colhedora de algodão John Deere 9976 INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-2e6a-71ad-861a-3c1aa4e64d30/019dab2a-c6f7-766b-ba31-36caf515a32f.pdf"
"25","Colhedora de Algodão","JOHN DEERE","9976","Esquema técnico elétrico Colhedora de algodão John Deere CP 9976","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-2e6a-71ad-861a-3c1aa4e64d30/019dab2a-c786-75a0-a0fd-bc176aa60de9.pdf"
"26","Colhedora de Algodão","JOHN DEERE","9976","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE 9976","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-2e6a-71ad-861a-3c1aa4e64d30/019dab2a-c82e-729a-8bdb-ee1b3df138cf.pdf"
"27","Colhedora de Algodão","JOHN DEERE","9986","CATALOGO DE PEÇAS DA COLHEDORA DE ALGODÃO JOHN DEERE - CP9996 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6bf-c61d-7a3d-b6c9-b61a8be956f9/019dab33-c498-74fe-8881-96fed9155aea.pdf"
