"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"1","Trator Agrícola","CASE","8940","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf80-77da-8e2b-e19db53d71fd/019e1796-ab82-7b30-b986-79a965d4d5f3.pdf"
"2","Trator Agrícola","CASE","8940","CATALOGO DE PEÇAS DO TRATOR CASE IH 8940 EM INGLES","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf80-77da-8e2b-e19db53d71fd/019e1796-abd2-79fa-8faf-6c3013f23008.pdf"
"3","Trator Agrícola","CASE","8940","MANUAL DE RELATORIO TECNICO DO TRATOR CASE IH 8940 EM INGLES","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf80-77da-8e2b-e19db53d71fd/019e1796-ac94-72b4-8bd4-d749006e9643.pdf"
"4","Trator Agrícola","CASE","FARMALL 100 CAB","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7311-84a0-cd8a8b3bea13/019e179c-9583-789e-8f34-52db6f445fe8.pdf"
"5","Trator Agrícola","CASE","FARMALL 100 CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7311-84a0-cd8a8b3bea13/019e179c-95d4-7626-8846-6722e6260ff4.pdf"
"6","Trator Agrícola","CASE","FARMALL 100 CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7311-84a0-cd8a8b3bea13/019e179c-96bc-7f4b-9f83-6a5f07014740.pdf"
"7","Trator Agrícola","CASE","FARMALL 100 CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7311-84a0-cd8a8b3bea13/019e179c-95f8-7f82-9fda-25cf48d287e8.pdf"
"8","Trator Agrícola","CASE","FARMALL 100C HI-LO CAB","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ab-6ad9-7877-9205-06f6fd751e7a/019e179d-083d-7944-815e-2e6f84a92a24.pdf"
"9","Trator Agrícola","CASE","FARMALL 100C HI-LO CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ab-6ad9-7877-9205-06f6fd751e7a/019e179d-08bf-7669-b7a7-819e00778126.pdf"
"10","Trator Agrícola","CASE","FARMALL 100C HI-LO CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ab-6ad9-7877-9205-06f6fd751e7a/019e179d-088b-736e-a305-1adf6bb1527d.pdf"
