"categoria","marca","modelo","quantidade_manuais_appmaq","categoria_id","marca_id","modelo_id"
"Trator Agrícola","CASE","8940","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0196f443-bf80-77da-8e2b-e19db53d71fd"
"Trator Agrícola","CASE","FARMALL 100 CAB","4","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","01957100-b0de-7311-84a0-cd8a8b3bea13"
"Trator Agrícola","CASE","FARMALL 100C HI-LO CAB","5","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2ab-6ad9-7877-9205-06f6fd751e7a"
"Trator Agrícola","CASE","FARMALL 100C HI-LO PLAT","5","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2ab-d01c-78e1-8479-8b11162e60fe"
"Trator Agrícola","CASE","FARMALL 100C MECH CAB","5","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2ac-7959-77ef-9477-583e2a259cf1"
"Trator Agrícola","CASE","FARMALL 100C MECH ROPS","5","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2ac-be98-7e64-9c4a-f04052669202"
"Trator Agrícola","CASE","FARMALL 100 PLAT","4","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2a4-e6b2-7d91-9ec3-6c7d447bb4ac"
"Trator Agrícola","CASE","FARMALL 110A CAB","4","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","01957100-b0de-7512-bc71-9d796d7eb3b3"
"Trator Agrícola","CASE","FARMALL 110C MECH CAB","5","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2ae-74f3-7f17-904b-eef1030659ca"
"Trator Agrícola","CASE","FARMALL 110C MECH PLAT","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2ae-fed3-7d7e-83d5-c4b1ada11997"
"Trator Agrícola","CASE","FARMALL 110 HI-LO CAB","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2a9-c8e1-77ef-91c2-4919de35d645"
"Trator Agrícola","CASE","FARMALL 110 HI-LO PLAT","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2aa-5140-7262-b9b5-f50e69df8123"
"Trator Agrícola","CASE","FARMALL 110 ROPS","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0198e2b3-e1d4-7dd7-8bbb-451b404b4c58"
"Trator Agrícola","CASE","FARMALL 120A","2","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0195b3ba-39a6-7958-9837-23d24d037f0d"
"Trator Agrícola","CASE","FARMALL 130A CAB","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0196f443-bf95-77a7-bd1a-814cdb7269ab"
"Trator Agrícola","CASE","FARMALL 130 ROPS","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","0195b3ba-39a6-7155-851e-10fc984b312c"
"Trator Agrícola","CASE","FARMALL 60","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","019e178e-700f-7e2a-b896-c83ac046235d"
"Trator Agrícola","CASE","FARMALL 70","3","019570fc-0046-7a7e-9537-5270ed100c7e","019570fb-3284-7054-952d-80ceda29fee7","019e178e-a3b3-7b75-8384-b10338bef4bd"
