"marca","modelo_solicitado","status","modelo_appmaq_correspondente","quantidade_manuais_appmaq","candidatos_parecidos","observacao"
"NEW HOLLAND","T9.470 - COM LEVANTE","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.470 - COM LEVANTE","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.470 - PIVOT","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.470 - PIVOT","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.480","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.480","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.520 - COM LEVANTE","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.520 - COM LEVANTE","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.520 - PIVOT","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.520  - PIVOT","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.565","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.565","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.580 - COM LEVANTE","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.580 - COM LEVANTE","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.580 - PIVOT","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.580 - PIVOT","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.615 - COM LEVANTE","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.615 - COM LEVANTE","6","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.615 - PIVOT","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.615 - PIVOT","6","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","T9.700 - PIVOT","JA_APARECE_COM_MANUAL_NO_APPMAQ","T9.700 - PIVOT","8","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","TL100","JA_APARECE_COM_MANUAL_NO_APPMAQ","TL100","5","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","TL5.100","JA_APARECE_COM_MANUAL_NO_APPMAQ","TL5.100","7","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","TL5.80","JA_APARECE_COM_MANUAL_NO_APPMAQ","TL5.80","7","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","TL5.90","JA_APARECE_COM_MANUAL_NO_APPMAQ","TL5.90","7","","Encontrado por marca e modelo normalizados."
"NEW HOLLAND","TL60E","JA_APARECE_COM_MANUAL_NO_APPMAQ","TL60E","8","","Encontrado por marca e modelo normalizados."
