"prioridade","marca","modelo","tipo_documento","pasta_destino","total_manuais_admin","existe_no_admin","arquivos_locais","status_coleta","consulta_sugerida","candidatos_parecidos_appmaq"
"1","MASSEY FERGUSON","8S.305","manual_servico_oficina","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\8S.305\02_manual_servico_oficina","4","False","0","pesquisar","MASSEY FERGUSON 8S.305 manual servico oficina service workshop repair",""
"1","MASSEY FERGUSON","MF3306","manual_servico_oficina","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF3306\02_manual_servico_oficina","4","False","0","pesquisar","MASSEY FERGUSON MF3306 manual servico oficina service workshop repair",""
"1","MASSEY FERGUSON","MF3307","manual_servico_oficina","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF3307\02_manual_servico_oficina","4","False","0","pesquisar","MASSEY FERGUSON MF3307 manual servico oficina service workshop repair",""
"1","MASSEY FERGUSON","MF3308","manual_servico_oficina","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF3308\02_manual_servico_oficina","4","False","0","pesquisar","MASSEY FERGUSON MF3308 manual servico oficina service workshop repair",""
"1","MASSEY FERGUSON","MF4290","catalogo_pecas","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4290\03_catalogo_pecas","1","False","0","pesquisar","MASSEY FERGUSON MF4290 catalogo pecas parts catalog",""
"1","MASSEY FERGUSON","MF4290","manual_operador","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4290\01_manual_operador","1","False","0","pesquisar","MASSEY FERGUSON MF4290 manual operador operator manual",""
"1","MASSEY FERGUSON","MF4408","manual_servico_oficina","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4408\02_manual_servico_oficina","5","False","0","pesquisar","MASSEY FERGUSON MF4408 manual servico oficina service workshop repair",""
"1","MASSEY FERGUSON","MF4409","manual_servico_oficina","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4409\02_manual_servico_oficina","5","False","0","pesquisar","MASSEY FERGUSON MF4409 manual servico oficina service workshop repair",""
"1","MASSEY FERGUSON","MF4410","manual_servico_oficina","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4410\02_manual_servico_oficina","10","False","0","pesquisar","MASSEY FERGUSON MF4410 manual servico oficina service workshop repair",""
"1","MASSEY FERGUSON","MF4707","catalogo_pecas","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4707\03_catalogo_pecas","0","False","0","pesquisar","MASSEY FERGUSON MF4707 catalogo pecas parts catalog",""
"1","MASSEY FERGUSON","MF4707","ficha_tecnica_folheto","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4707\07_ficha_tecnica_folheto","0","False","0","pesquisar","MASSEY FERGUSON MF4707 ficha tecnica especificacoes folheto brochure specifications",""
"1","MASSEY FERGUSON","MF4707","manual_eletrico_hidraulico","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4707\05_manual_eletrico_hidraulico","0","False","0","pesquisar","MASSEY FERGUSON MF4707 manual eletrico hidraulico diagrama electrical hydraulic",""
"1","MASSEY FERGUSON","MF4707","manual_manutencao","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4707\04_manual_manutencao","0","False","0","pesquisar","MASSEY FERGUSON MF4707 manual manutencao maintenance",""
"1","MASSEY FERGUSON","MF4707","manual_operador","E:\MANUAIS_APPMAQ\Trator Agricola\MASSEY FERGUSON\MF4707\01_manual_operador","0","False","0","pesquisar","MASSEY FERGUSON MF4707 manual operador operator manual",""
